revenue,net_profit,debt_to_equity,fraud_score,avg_balance,expected_decision
1000000,100000,0.5,20,500000,APPROVE
500000,-50000,2.0,80,100000,REJECT
2000000,200000,0.3,10,800000,APPROVE
300000,30000,1.5,60,200000,REJECT
1500000,150000,0.8,30,600000,APPROVE
400000,-20000,2.5,90,50000,REJECT
2500000,250000,0.2,5,1000000,APPROVE
600000,60000,1.2,40,300000,APPROVE
350000,-10000,3.0,95,80000,REJECT
1800000,180000,0.6,25,700000,APPROVE
700000,70000,1.8,70,150000,REJECT
1200000,120000,0.9,35,550000,APPROVE
450000,-30000,2.2,85,120000,REJECT
2800000,280000,0.1,8,1200000,APPROVE
550000,55000,1.0,45,400000,APPROVE
320000,-15000,2.8,88,90000,REJECT
2200000,220000,0.4,15,900000,APPROVE
650000,65000,1.6,55,250000,APPROVE
380000,-25000,2.3,92,110000,REJECT
1600000,160000,0.7,28,650000,APPROVE
