gstin,seller_gstin,buyer_gstin,invoice_number,invoice_date,taxable_value,igst,cgst,sgst,total_value,hsn_code,description
27AABCU9603R1ZM,27AABCU9603R1ZM,29AADCB2230M1ZN,INV-2024-001,2024-01-15,150000.00,27000.00,0.00,0.00,177000.00,8471,Computer Hardware
27AABCU9603R1ZM,27AABCU9603R1ZM,07AAACN8900M1Z4,INV-2024-002,2024-01-22,85000.00,15300.00,0.00,0.00,100300.00,8517,Networking Equipment
29AADCB2230M1ZN,29AADCB2230M1ZN,27AABCU9603R1ZM,INV-2024-003,2024-02-10,120000.00,21600.00,0.00,0.00,141600.00,8471,Server Components
07AAACN8900M1Z4,07AAACN8900M1Z4,29AADCB2230M1ZN,INV-2024-004,2024-02-18,95000.00,17100.00,0.00,0.00,112100.00,8504,Power Supply Units
27AABCU9603R1ZM,27AABCU9603R1ZM,33AABCT1332L1ZR,INV-2024-005,2024-03-05,200000.00,36000.00,0.00,0.00,236000.00,8523,Storage Devices
33AABCT1332L1ZR,33AABCT1332L1ZR,27AABCU9603R1ZM,INV-2024-006,2024-03-12,180000.00,32400.00,0.00,0.00,212400.00,8471,Laptop Components
29AADCB2230M1ZN,29AADCB2230M1ZN,07AAACN8900M1Z4,INV-2024-007,2024-03-20,75000.00,13500.00,0.00,0.00,88500.00,8536,Electrical Components
07AAACN8900M1Z4,07AAACN8900M1Z4,27AABCU9603R1ZM,INV-2024-008,2024-04-01,110000.00,19800.00,0.00,0.00,129800.00,8517,Router Equipment
27AABCU9603R1ZM,27AABCU9603R1ZM,29AADCB2230M1ZN,INV-2024-009,2024-04-15,250000.00,45000.00,0.00,0.00,295000.00,8471,Enterprise Servers
33AABCT1332L1ZR,33AABCT1332L1ZR,07AAACN8900M1Z4,INV-2024-010,2024-04-22,65000.00,11700.00,0.00,0.00,76700.00,8504,UPS Systems
27AABCU9603R1ZM,27AABCU9603R1ZM,33AABCT1332L1ZR,INV-2024-011,2024-05-08,175000.00,31500.00,0.00,0.00,206500.00,8523,SSD Storage
29AADCB2230M1ZN,29AADCB2230M1ZN,33AABCT1332L1ZR,INV-2024-012,2024-05-15,90000.00,16200.00,0.00,0.00,106200.00,8536,Circuit Breakers
