date,description,debit,credit,balance,category,reference
2024-01-05,Opening Balance,0.00,0.00,2500000.00,OPENING,OB-2024
2024-01-10,Client Payment - ABC Corp,0.00,350000.00,2850000.00,RECEIPT,NEFT/2024/001
2024-01-15,Vendor Payment - XYZ Supplies,280000.00,0.00,2570000.00,PAYMENT,RTGS/2024/002
2024-01-20,GST Payment Q3,145000.00,0.00,2425000.00,TAX,GST/Q3/2024
2024-01-25,Salary Disbursement,320000.00,0.00,2105000.00,SALARY,SAL/JAN/2024
2024-02-01,Client Payment - DEF Industries,0.00,420000.00,2525000.00,RECEIPT,NEFT/2024/003
2024-02-05,Office Rent,85000.00,0.00,2440000.00,RENT,RENT/FEB/2024
2024-02-10,Equipment Purchase,150000.00,0.00,2290000.00,CAPEX,PO/2024/004
2024-02-15,Client Payment - GHI Tech,0.00,280000.00,2570000.00,RECEIPT,NEFT/2024/005
2024-02-20,Utility Bills,32000.00,0.00,2538000.00,UTILITY,UTL/FEB/2024
2024-02-28,EMI - Term Loan,95000.00,0.00,2443000.00,EMI,EMI/FEB/2024
2024-03-01,Client Payment - JKL Solutions,0.00,510000.00,2953000.00,RECEIPT,NEFT/2024/006
2024-03-05,Vendor Payment - PQR Parts,220000.00,0.00,2733000.00,PAYMENT,RTGS/2024/007
2024-03-10,Insurance Premium,45000.00,0.00,2688000.00,INSURANCE,INS/2024/001
2024-03-15,Client Payment - MNO Retail,0.00,190000.00,2878000.00,RECEIPT,NEFT/2024/008
2024-03-20,Salary Disbursement,320000.00,0.00,2558000.00,SALARY,SAL/MAR/2024
2024-03-25,Advance Tax Payment,200000.00,0.00,2358000.00,TAX,ADV/Q4/2024
2024-03-31,EMI - Term Loan,95000.00,0.00,2263000.00,EMI,EMI/MAR/2024
2024-04-01,Client Payment - ABC Corp,0.00,380000.00,2643000.00,RECEIPT,NEFT/2024/009
2024-04-10,Vendor Payment - STU Electronics,310000.00,0.00,2333000.00,PAYMENT,RTGS/2024/010
2024-04-15,Client Payment - DEF Industries,0.00,450000.00,2783000.00,RECEIPT,NEFT/2024/011
2024-04-20,GST Payment Q4,160000.00,0.00,2623000.00,TAX,GST/Q4/2024
2024-04-25,Salary Disbursement,320000.00,0.00,2303000.00,SALARY,SAL/APR/2024
2024-04-30,EMI - Term Loan,95000.00,0.00,2208000.00,EMI,EMI/APR/2024
